doc,term,weight,scheme,setting
多边合作,沟通交流,0.10576609849917769,term_weight,all
公众舆论,海洋排放,0.025648701383571025,term_weight,all
排放背景,海洋排放,0.014849248169435855,term_weight,all
生态文明,海洋排放,0.017099134255714018,term_weight,all
公众舆论,海洋环境,0.031129334620200573,term_weight,all
外交关系,海洋环境,0.006585051554273198,term_weight,all
排放背景,海洋环境,0.009011123179531743,term_weight,all
生态文明,海洋环境,0.051882224367000955,term_weight,all
食品安全,海洋环境,0.02361535729808319,term_weight,all
多边合作,监测,0.10576609849917769,term_weight,all
评估情况,监测,0.07403626894942439,term_weight,all
公众舆论,福岛,0.019969667901375575,term_weight,all
多边合作,福岛,0.06276181340432323,term_weight,all
排放背景,福岛,0.034684160039231256,term_weight,all
评估情况,福岛,0.04393326938302627,term_weight,all
成分信息,福岛核事故,0.06942617901054834,term_weight,all
排放背景,福岛核泄漏事故,0.08221521198617567,term_weight,all
成分信息,福岛核电站,0.02928884625535084,term_weight,all
技术方案,福岛核电站,0.08786653876605253,term_weight,all
排放背景,福岛核电站,0.011561386679743752,term_weight,all
评估情况,福岛核电站,0.04393326938302627,term_weight,all
外交关系,立场,0.020026782406888946,term_weight,all
排放背景,讳莫如深,0.027405070662058554,term_weight,all
多边合作,评估,0.048917525831743754,term_weight,all
成分信息,评估,0.022828178721480418,term_weight,all
技术方案,评估,0.06848453616444126,term_weight,all
排放背景,评估,0.009011123179531743,term_weight,all
评估情况,评估,0.06848453616444126,term_weight,all
信息公开,说服力,0.052883049249588844,term_weight,all
食品安全,说服力,0.025529747913594615,term_weight,all
责任义务,负责任,0.09467206228711138,term_weight,all
外交关系,负责的态度,0.08010712962755578,term_weight,all
排放背景,过去,0.027405070662058554,term_weight,all
信息公开,通报,0.07438519179701608,term_weight,all
信息公开,通报情况,0.052883049249588844,term_weight,all
外交关系,通报情况,0.01423774402873546,term_weight,all
外交关系,邻国,0.020026782406888946,term_weight,all
食品安全,部门,0.03591009259166294,term_weight,all
外交关系,采取有效,0.020026782406888946,term_weight,all
公众舆论,问题,0.03365284952246563,term_weight,all
排放背景,问题,0.038966457341802305,term_weight,all
公众舆论,隐患,0.025648701383571025,term_weight,all
排放背景,隐患,0.014849248169435855,term_weight,all
生态文明,隐患,0.017099134255714018,term_weight,all
外交关系,韩方,0.01423774402873546,term_weight,all
多边合作,韩方,0.10576609849917769,term_weight,all
食品安全,食品,0.03591009259166294,term_weight,all
信息公开,食品安全,0.031380906702161614,term_weight,all
公众舆论,食品安全,0.019969667901375575,term_weight,all
生态文明,食品安全,0.03993933580275115,term_weight,all
食品安全,食品安全,0.06059761294210519,term_weight,all
外交关系,高度,0.08010712962755578,term_weight,all
排放背景,高度关注,0.027405070662058554,term_weight,all
