label,term,n,term_weight
公众舆论,周边,1,0.025648701383571025
公众舆论,海洋环境,2,0.031129334620200573
公众舆论,民众健康,2,0.03993933580275115
公众舆论,隐患,1,0.025648701383571025
公众舆论,危害,1,0.025648701383571025
责任义务,政府,1,0.06730569904493126
责任义务,有责任,1,0.06730569904493126
责任义务,外国,1,0.06730569904493126
责任义务,公民,1,0.06730569904493126
责任义务,人身安全,1,0.06730569904493126
责任义务,合法权益,1,0.06730569904493126
责任义务,日本政府,1,0.031129334620200573
责任义务,负责任,1,0.09467206228711138
责任义务,态度,1,0.09467206228711138
责任义务,切实履行,1,0.09467206228711138
责任义务,国际义务,1,0.09467206228711138
多边合作,韩方,1,0.10576609849917769
多边合作,沟通交流,1,0.10576609849917769
多边合作,国际原子能机构,1,0.10576609849917769
多边合作,福岛,1,0.06276181340432323
多边合作,核污水,1,0.048917525831743754
多边合作,监测,1,0.10576609849917769
多边合作,评估,1,0.048917525831743754
