doc,term,weight,scheme,setting
信息公开,通报情况,1.0,count,all
外交关系,通报情况,1.0,count,all
外交关系,邻国,1.0,count,all
食品安全,部门,1.0,count,all
外交关系,采取有效,1.0,count,all
公众舆论,问题,1.0,count,all
排放背景,问题,2.0,count,all
公众舆论,隐患,1.0,count,all
排放背景,隐患,1.0,count,all
生态文明,隐患,1.0,count,all
外交关系,韩方,1.0,count,all
多边合作,韩方,1.0,count,all
食品安全,食品,1.0,count,all
信息公开,食品安全,1.0,count,all
公众舆论,食品安全,1.0,count,all
生态文明,食品安全,3.0,count,all
食品安全,食品安全,4.0,count,all
外交关系,高度,4.0,count,all
排放背景,高度关注,1.0,count,all
